# tracer: nop
#
# entries-in-buffer/entries-written: 14477/14477   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 irq/95-rmi4_smb-439863  [009] ..... 24998.796366: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-01-03-01-11-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.796367: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.797263: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-e2]
     kworker/2:1-476312  [002] ..... 24998.798716: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.830026: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.833799: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.833801: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.833805: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.837796: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.837955: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.837974: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-81]
     kworker/2:1-476312  [002] ..... 24998.839343: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.870362: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.871348: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.871350: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.871355: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.873892: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.873894: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.873920: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-4a]
     kworker/2:1-476312  [002] ..... 24998.875129: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.880065: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.881176: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.881178: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.881184: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.883360: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.883362: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.883441: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-80]
     kworker/2:1-476312  [002] ..... 24998.884586: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.887443: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.888640: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.888642: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.888645: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.890896: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.890898: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.890919: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-e2]
     kworker/2:1-476312  [002] ..... 24998.892115: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.894876: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.895859: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.895861: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.895864: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.898384: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.898385: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
     kworker/2:1-476312  [002] ..... 24998.898830: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-2c]
     kworker/2:1-476312  [002] ..... 24998.899851: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.909674: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.910889: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.910890: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.910895: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
